country,year,"Inflation, CP percent","Inflation, GDP deflator percent",Real IR percent,Unemployment percent
United States,1970,5.83826,5.60217,2.18540,4.90000
United States,1971,4.29277,5.06917,0.62260,5.90000
United States,1972,3.27228,4.32275,0.88723,5.60000
United States,1973,6.17776,5.47988,2.40974,4.90000
United States,1974,11.05480,8.99869,1.65106,5.60000
United States,1975,9.14315,9.26261,-1.28142,8.50000
United States,1976,5.74481,5.50339,1.26689,7.70000
United States,1977,6.50168,6.21337,0.57507,7.10000
United States,1978,7.63096,7.03383,1.88990,6.10000
United States,1979,11.25447,8.29656,4.03455,5.80000
United States,1980,13.54920,9.03308,5.71639,7.10000
United States,1981,10.33472,9.46214,8.59462,7.60000
United States,1982,6.13143,6.17827,8.17735,9.70000
United States,1983,3.21244,3.91679,6.61816,9.60000
United States,1984,4.30054,3.60771,8.14109,7.50000
United States,1985,3.54564,3.16245,6.56333,7.20000
United States,1986,1.89805,2.01390,6.19386,7.00000
United States,1987,3.66456,2.47281,5.59224,6.20000
United States,1988,4.07774,3.52742,5.59038,5.50000
United States,1989,4.82700,3.92035,6.69069,5.30000
United States,1990,5.39796,3.74333,6.03975,5.60000
United States,1991,4.23496,3.38176,4.91535,6.80000
United States,1992,3.02882,2.27891,3.88424,7.50000
United States,1993,2.95166,2.37034,3.54562,6.90000
United States,1994,2.60744,2.13542,4.89831,6.12000
United States,1995,2.80542,2.09690,6.59400,5.65000
United States,1996,2.93120,1.83097,6.32407,5.45000
United States,1997,2.33769,1.78817,6.53661,5.00000
United States,1998,1.55228,1.12552,7.14819,4.51000
United States,1999,2.18803,1.44380,6.45713,4.22000
United States,2000,3.37686,2.23547,6.84484,3.99000
United States,2001,2.82617,2.19343,4.62676,4.73000
United States,2002,1.58603,1.58176,3.04507,5.78000
United States,2003,2.27009,1.85710,2.22410,5.99000
United States,2004,2.67724,2.69221,1.60459,5.53000
United States,2005,3.39275,3.11494,2.98136,5.08000
United States,2006,3.22594,3.02620,4.78645,4.62000
United States,2007,2.85267,2.68628,5.22341,4.62000
United States,2008,3.83910,1.94513,3.08241,5.78000
United States,2009,-0.35555,0.76235,2.46883,9.25000
United States,2010,1.64004,1.16525,2.06074,9.63000
United States,2011,3.15684,2.08890,1.13734,8.95000
United States,2012,2.06934,1.91785,1.30708,8.07000
United States,2013,1.46483,1.75492,1.46930,7.37000
United States,2014,1.62222,1.84983,1.37474,6.17000
United States,2015,0.11863,0.95253,2.28570,5.28000
United States,2016,1.26158,1.04925,2.43685,4.87000
United States,2017,2.13011,1.88007,2.17569,4.36000
United States,2018,2.44258,2.40098,2.44449,3.90000
United States,2019,1.81221,1.78515,3.43601,3.67000
United States,2020,1.23358,1.20520,2.31111,8.05000
